Genres,Hulu,IMDb,Rotten Tomatoes,Title,Year,_id
"Biography,Drama,Musical,Romance",true,5.9,44,Daffodils,2019,616528458a2fde8299a2bcad
"Comedy,Drama",true,4.9,43,Braking for Whales,2019,616528458a2fde8299a2bcb4
"Drama,Fantasy,Romance",true,4.8,43,Endless,2020,616528458a2fde8299a2bcb5
"Animation,Drama,Family,Fantasy,Mystery,Romance",true,4.3,43,12 Pups of Christmas,2019,616528458a2fde8299a2bcb6
Drama,true,5.6,43,Here Awhile,2019,616528458a2fde8299a2bcb8
"Animation,Action,Adventure,Comedy,Family",true,5.1,43,Vic the Viking and the Magic Sword,2019,616528458a2fde8299a2bcbb
Documentary,true,7.2,43,Own The Sky,2019,616528458a2fde8299a2bcbd
Family,true,5.9,43,Next Level,2019,616528458a2fde8299a2bcbf
"Comedy,Drama",true,5.4,43,5 Years Apart,2019,616528458a2fde8299a2bcc1
Documentary,true,6.7,42,Cannabis Evolution,2019,616528458a2fde8299a2bcc2
"Comedy,Romance",true,4.6,42,Christmas Crush,2019,616528458a2fde8299a2bcc3
Comedy,true,5,42,Sister Aimee,2019,616528458a2fde8299a2bcc4
Documentary,true,6.2,42,Deep in Vogue,2019,616528458a2fde8299a2bcc5
Documentary,true,6.4,42,Naughty Books,2020,616528458a2fde8299a2bcc7
"Action,Comedy,Family",true,5.1,42,Bernie the Dolphin 2,2019,616528458a2fde8299a2bcc8
"Animation,Adventure,Comedy,Family,Fantasy",true,5.1,41,Curious George: Royal Monkey,2019,616528458a2fde8299a2bcd0
Documentary,true,5.1,41,Drag Kids,2019,616528458a2fde8299a2bcd3
Documentary,true,6,40,After Parkland,2019,616528458a2fde8299a2bcd5
Horror,true,2.9,39,Carrion,2020,616528458a2fde8299a2bcd7
Drama,true,4.9,39,Where We Go from Here,2019,616528458a2fde8299a2bcda
"Sci-Fi,Thriller",true,3.6,39,Zoo-Head,2019,616528458a2fde8299a2bcdc
"Drama,Family,Fantasy",true,4.4,39,A Christmas Hero,2020,616528458a2fde8299a2bcdd
,true,,20,Michael Smerconish: Things I Wish I Knew Before I Started Talking,2020,616528458a2fde8299a2bceb
Documentary,true,,15,Alien Contact,2020,616528458a2fde8299a2bcec
"Drama, Romance",true,7.4,,Virgin River,2019,616529b68a2fde8299a2d0ef
"Adventure, Drama, Family, Fantasy",true,7.9,,His Dark Materials,2019,616529b68a2fde8299a2d116
"Biography, Comedy, Drama, History",true,8.1,,The Great,2020,616529b68a2fde8299a2d136
"Biography, Crime, Drama",true,7.7,,For Life,2020,616529b68a2fde8299a2d149
Drama,true,6.9,,A Teacher,2020,616529b68a2fde8299a2d187
"Comedy, Drama, Romance",true,8.1,,"Love, Victor",2020,616529b68a2fde8299a2d192
"Animation, Comedy, Sci-Fi",true,8,,Solar Opposites,2020,616529b68a2fde8299a2d196
